"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"Maxxine Dupri vs Valhalla - WWE RAW 7/31/2023","UCQWMcsQb99i1pJ9YnBC1DxQ",79938,1652,0,107,"2023-08-01T00:57:54Z","Sports"
"ಚಂದ್ರನ ಕಕ್ಷೆಗೆ ಇಸ್ರೋ ಲ್ಯಾಂಡರ್..! ಮಧ್ಯರಾತ್ರಿ ನಡೆದದ್ದು ಅದೆಂಥಾ ಮ್ಯಾಜಿಕ್ ಗೊತ್ತಾ..?","UChYmSuQtdcVimTk7jmpq5rg",119321,8063,0,214,"2023-08-01T06:04:26Z","Education"
"Prince Harry causes controversy in speech to the UN | Sunrise","UCMRq9ADyETX-Touo4Srph5g",72116,1424,0,969,"2022-07-19T02:24:07Z","News & Politics"
"Three UFO Witnesses DROPPED OUT Of Hearing Last Minute After Phone Call From PENTAGON: Rep. Burchett","UCPWXiRWZ29zrxPFIQT7eHSA",75334,2056,0,707,"2023-07-31T17:33:25Z","News & Politics"
"ហេតុអ្វីត្រូវមានសត្វសេក? | VANNDA - មហិច្ឆតា (AMBITION) [Thank For 4M Subs] Reaction លាងខួរបែបខ្មែរ","UC07tzG2X0uC9vQTPuZd2X6w",83753,9279,0,238,"2023-08-01T03:21:47Z","Entertainment"
"ついにいちごマイクラ始まった!!はぴあに村を最強にしますｗｗｗｗｗｗ【マイクラ】【いちごマイクラ】【はぴあに】【からつけあっきぃ】","UCtBWXrQqfd5EaVbhezbxopg",73948,4090,0,25,"2023-08-01T10:15:42Z","Gaming"
"مسلسل أمينة حاف | جبتي العيد بأختي","UCBAEVMr0li9YYF8IwZHfusw",67221,4130,0,24,"2023-07-31T20:45:33Z","Entertainment"
"एक Rose के Bouquet में Team CID को कैसे मिला Bomb का सुराग? | CID | Tarika &amp; Abhijeet |31 July 2023","UCzXpAx4v6rFLYXkJZ5nmSvQ",62473,659,0,25,"2023-07-31T17:15:01Z","Science & Technology"
"China Italy Relations: चीन के प्रोजेक्ट में शामिल हो कर क्यों पछता रहा इटली? (BBC Hindi)","UCN7B-QD0Qgn2boVH5Q0pOWg",58923,0,0,81,"2023-08-01T02:30:16Z","News & Politics"
"Barbie keychain #shorts #tonniartandcraft #youtubeshorts #love #art #satisfying","UC1m_wJF-qJ_VnPQKNahOmjQ",74879,5336,0,143,"2023-08-01T07:06:36Z","Howto & Style"
