"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"Tư Lệnh TQLC Nga ở Kherson có thể đã tử trận. Madrid có thể cho Kyiv hàng trăm xe tăng Leopard 2","UCdioDuMh5_afhGJTAkbQjdQ",203657,0,0,0,"2023-02-03T21:00:22Z","Nonprofits & Activism"
"EASY Soft Rose Golden Eye Makeup Tutorial","UCrfr4PnqvdJO4KrYWg10CJw",202310,6406,0,162,"2020-10-18T17:05:18Z","Howto & Style"
"Riot just changed fighter items","UC_kXrYB-00uPaJvpRVrMilg",199829,4974,0,1765,"2023-01-13T23:37:45Z","Gaming"
"Rahul Gandhi ने तो Supreme Court में भी इतनी बड़ी बात कह दी , अब फ़ैसला क्या आने वाला है ?","UCkquFW943phrj5RbNqtqj4w",240809,14442,0,1385,"2023-08-03T05:23:25Z","News & Politics"
"Are There Snakes in Hawaii? Turns Out Yes But Special","UC4rlAVgAK0SGk-yTfe48Qpw",190537,0,0,239,"2020-03-04T17:00:16Z","Entertainment"
"iOS 16 Beta 3 - 25+ More New Features!","UCiQMYozSSTkJ2twtZM1bG9w",188815,4057,0,314,"2022-07-09T13:07:12Z","Science & Technology"
"BEST Of GTA 5 Chaos Rainbomizer - Viewers Randomly Mod The Game In A Randomized Los Santos (#7)","UCV6mNrW8CrmWtcxWfQXy11g",186509,7433,0,252,"2022-04-09T16:04:33Z","Gaming"
"США должны реформировать НАТО и включить туда Украину // №536 —Юрий Швец","UCb2oej0JtxlnywlqoSiHHVQ",186893,23193,0,952,"2023-08-02T20:12:27Z","News & Politics"
"Prime Focus (1472) || ਮਾਨ ਨੇ CM ਬਣਕੇ ਕਈ ਕੁਝ ਬਦਲਿਆ","UCztSIZEGBfWfC3Mq63QXnsA",251338,8486,0,339,"2022-03-17T01:00:10Z","News & Politics"
"Our new member @iampolar 😍 Welcome to the XO Fam 🤍","UClZAOlfhJQJRym39WoAPxdw",271075,22565,0,104,"2023-08-02T15:35:05Z","Music"
"Sonepar-Weiterhelfer: FI/LS-Schalter 5SV1 von Siemens","UCRwEG5I2xrFPT9MYzYbVwiw",249088,30,0,0,"2022-01-10T09:19:36Z","Science & Technology"
"மகிழ்ச்சி.. மிக்க மகிழ்ச்சி.. 😊  | Thamizhum Saraswathiyum | Episode Preview","UCvrhwpnp2DHYQ1CbXby9ypQ",257173,2986,0,36,"2023-08-02T16:17:16Z","Entertainment"
"Will Indonesia&#39;s Largest Technology Company Survive?","UCokeVZg4VaSLVBDiziJsMDA",247200,3234,0,568,"2022-12-13T09:55:35Z","Education"
"LOKI: What&#39;s Next for KANG in Ant-Man and the Wasp: QUANTUMANIA | Marvel Teaser BREAKDOWN","UCgMJGv4cQl8-q71AyFeFmtg",244538,6453,0,549,"2021-07-26T17:04:13Z","Film & Animation"
"अविवाहित आमा रुदैं बच्चा लिएर जनता जान्न चाहन्छन् कार्यक्रममा,बलात्कारीलाई फासी, राष्ट्रपतिसँग रुष्ट","UCL1Zr3XniRSwZOcqnpAKtfg",239392,7598,0,1069,"2022-03-22T18:56:40Z","News & Politics"
"I Can See Your Voice Thailand (T-pop) | EP.05 | MILLI | 2 ส.ค.66 Full EP.","UC3ZkCd7XtUREnjjt3cyY_gg",235113,4675,0,199,"2023-08-02T15:00:25Z","Entertainment"
"The Best Sci-Fi Movies Of 2020","UCP1iRaFlS5EYjJBryFV9JPw",229601,2836,0,126,"2020-12-22T15:00:09Z","Entertainment"
"🚨INTER MIAMI vs ORLANDO CITY en VIVO 🏆 MESSI TITULAR en la LEAGUES CUP","UCiN40zpNQVWT9cUeahegtmA",229245,3170,0,0,"2023-08-03T04:07:33Z","Sports"
"Big Action On Nuh Mewat Violence Live : हरियाणा में अलर्ट!, एक एक शख्स पर बड़ा ACTION | Monu Manesar","UCttspZesZIDEwwpVIgoZtWQ",228549,1765,0,0,"2023-08-03T01:17:34Z","News & Politics"
"Soñé con el futuro😱🤯😰😭","UC0gnpMXQFvO9YsRZ_2adXPA",227381,25612,0,1478,"2023-08-02T18:09:10Z","People & Blogs"
"Freedom AEOS Ends Australia Day 15&quot;","UCEHd_jYhQQKS5YVmpemaZlg",224453,3,0,0,"2022-01-18T12:00:08Z","Howto & Style"
"Prime Focus (1473) || ਮਾਨ ਦਾ ਫਾਰਮੂਲਾ - ਕਿੰਨੇ ਕੁ ਕੱਢੂਗਾ ਵੱਟ","UCztSIZEGBfWfC3Mq63QXnsA",222564,7434,0,324,"2022-03-18T01:00:14Z","News & Politics"
"Here&#39;s Why Toyota&#39;s RAV4 2023 Will Shock Everyone","UCqFYonMui0nemny21XPhIgg",222000,1759,0,108,"2022-06-25T19:15:00Z","Autos & Vehicles"
"Riot Games just got HACKED","UC_kXrYB-00uPaJvpRVrMilg",220394,6305,0,597,"2023-01-20T22:10:53Z","Gaming"
"ENG SUB《壯志高飛 New Horizon》EP10 | 陳喬恩、 鄭愷 | 勵志愛情 | KUKAN Drama","UCVm75cj78njo38Izz_suQQA",219240,1207,0,82,"2021-06-03T12:30:03Z","Film & Animation"
"Prime Focus (1478) || ਮਾਨ ਦੇ ਨਿਸ਼ਾਨੇ &#39;ਤੇ ਨਸ਼ਾ, ਰੇਤ, ਰਿਸ਼ਵਤ","UCztSIZEGBfWfC3Mq63QXnsA",214341,7582,0,357,"2022-03-23T01:00:12Z","News & Politics"
"The Flash 3x04 Inside &quot;The New Rogues&quot; (HD)","UCDR8cvjALazMm2j9hOar8_g",214188,1284,0,145,"2016-10-25T16:01:15Z","Entertainment"
"CE COUPLE EST DÉÇU | REACT | OCEANE","UC4sARR7WntqqQaOqJHeHnxA",216828,15998,0,502,"2023-08-02T18:02:15Z","People & Blogs"
"Имиджевый ролик Exiteq 2021","UCOn4SDvji2dmKvuUgonFhUw",209886,15,0,4,"2021-12-09T12:43:03Z","Science & Technology"
"Tư Lệnh TQLC Nga ở Kherson có thể đã tử trận. Madrid có thể cho Kyiv hàng trăm xe tăng Leopard 2","UCdioDuMh5_afhGJTAkbQjdQ",203657,0,0,0,"2023-02-03T21:00:22Z","Nonprofits & Activism"
"Ferrari is SCAMMING their best clients!","UCefl-5pmhZmljwZTE2KrcdA",213713,14767,0,158,"2023-08-02T13:00:28Z","Autos & Vehicles"
"EASY Soft Rose Golden Eye Makeup Tutorial","UCrfr4PnqvdJO4KrYWg10CJw",202309,6406,0,162,"2020-10-18T17:05:18Z","Howto & Style"
"Riot just changed fighter items","UC_kXrYB-00uPaJvpRVrMilg",199829,4974,0,1765,"2023-01-13T23:37:45Z","Gaming"
"🔴 NEW Peppa Pig 2023 | Peppa Pig Tales | All Episodes LIVE","UCAOtE1V7Ots4DjM8JLlrYgg",199135,1095,0,0,"2023-08-02T10:34:02Z","Education"
"Prime Focus (1475) || (ਮਾਨ ਸਰਕਾਰ ਨੇ ਕੀਤਾ ਫੈਸਲਾ) 25000 ਤੋਂ ਲੱਖਾਂ ਤੱਕ - ਨੌਕਰੀਆਂ ਦੇਣ ਦਾ ਫ਼ਾਰਮੂਲਾ","UCztSIZEGBfWfC3Mq63QXnsA",197336,6558,0,420,"2022-03-20T01:00:08Z","News & Politics"
"Highlights - Garuda United VS FC Barcelona | Garuda United U-17 Matchday","UCYqOeAXJm8yV9sJ8Ud3cR7A",194739,1685,0,897,"2023-08-02T14:40:22Z","Entertainment"
"12 COOLEST PC &amp; LAPTOP ACCESSORIES That Are Worth Buying","UCSWZxpzUTkriCZRe0Nl0UqA",194012,4056,0,97,"2020-06-22T16:00:13Z","Science & Technology"
"Le vrai visage d&#39;Inoxtag... Le Rewind de Twitch #125","UCnyR4T5qpgOrWGcQU6Jinkw",193919,11428,0,168,"2023-08-02T14:30:03Z","Entertainment"
"Are There Snakes in Hawaii? Turns Out Yes But Special","UC4rlAVgAK0SGk-yTfe48Qpw",190537,0,0,239,"2020-03-04T17:00:16Z","Entertainment"
"iOS 16 Beta 3 - 25+ More New Features!","UCiQMYozSSTkJ2twtZM1bG9w",188815,4057,0,314,"2022-07-09T13:07:12Z","Science & Technology"
"BEST Of GTA 5 Chaos Rainbomizer - Viewers Randomly Mod The Game In A Randomized Los Santos (#7)","UCV6mNrW8CrmWtcxWfQXy11g",186509,7433,0,252,"2022-04-09T16:04:33Z","Gaming"
"&#39;Strip their titles&#39; Bad news for Prince Harry and Meghan Markle | Sunrise","UCMRq9ADyETX-Touo4Srph5g",185829,3504,0,2229,"2022-09-12T21:08:10Z","News & Politics"
"21 Hard Riddles Will Roast Your Brain Like a Marshmallow","UC4rlAVgAK0SGk-yTfe48Qpw",185121,2488,0,168,"2021-09-15T13:00:06Z","Howto & Style"
"Why You Shouldn&#39;t Use Free Wi-Fi on a Plane","UC4rlAVgAK0SGk-yTfe48Qpw",184739,4070,0,471,"2019-10-21T11:00:07Z","Howto & Style"
"10+ Basic Yoga Poses That&#39;ll Change Your Body in 29 Days","UC4rlAVgAK0SGk-yTfe48Qpw",183716,0,0,481,"2020-08-09T14:00:06Z","Entertainment"
"HOUSE OF THE DRAGON Episode 4 Trailer Breakdown | Theories, Book Callbacks And GOT Easter Eggs","UCq3hT5JPPKy87JGbDls_5BQ",180539,4293,0,353,"2022-09-05T16:00:33Z","Entertainment"
"Prime Focus (1420) || ਮੁੱਛ ਦਾ ਸਵਾਲ ਬਣੀ - ਚੋਣ ਪੰਜਾਬ ਦੀ","UCztSIZEGBfWfC3Mq63QXnsA",177368,5233,0,286,"2022-01-21T02:00:10Z","News & Politics"
"Irmão de suspeito de matar PM da Rota no Guarujá (SP) é preso | Primeiro Impacto (02/08/23)","UC376n347Ob5Lwzq2WGzF1AA",176979,3068,0,556,"2023-08-02T14:12:25Z","News & Politics"
"Khit Thit သတင်းဌာန၏ ဩဂုတ် ၃ ရက် မနက်ပိုင်း ရုပ်သံသတင်းအစီအစဉ်","UCktBWlYbAf4en-pWyyTqRwg",210378,8126,0,213,"2023-08-03T02:10:59Z","News & Politics"
"🌈 Rainbow Friends DUM-O-METER! 😕 (Cartoon Animation)","UCToxKVrkEuAONR4rFIJ_DyQ",238092,12615,0,118,"2023-08-02T22:00:23Z","Film & Animation"
